Tên feature,Định nghĩa/Ý nghĩa,Công thức tính,Source,Grain,Ý nghĩa trong mô hình
stockout_x_late,Đứt hàng + giao trễ cùng lúc gây suy giảm mạnh,Gap-safe: tính tại as_of_date = Date - 549 ngày; rolling/lag thực hiện sau shift. Công thức gốc: stockout_flag_rate_7d * late_rate_7d,Tương tác vận hành,business-day (date),"Feature phi-calendar, dùng lịch sử đã lùi 549 ngày để tránh leakage khi forecast đến 2024-07-01"
overstock_x_refund,Dư hàng + hoàn cao tạo doanh thu kém chất lượng,Gap-safe: tính tại as_of_date = Date - 549 ngày; rolling/lag thực hiện sau shift. Công thức gốc: overstock_flag_rate_7d * refund_to_revenue_7d,Tương tác vận hành,business-day (date),"Feature phi-calendar, dùng lịch sử đã lùi 549 ngày để tránh leakage khi forecast đến 2024-07-01"
q3_x_overstock,Rủi ro mùa xấu + tồn dư cao,Gap-safe: tính tại as_of_date = Date - 549 ngày; rolling/lag thực hiện sau shift. Công thức gốc: is_q3 * overstock_flag_rate_7d,Tương tác vận hành,business-day (date),"Feature phi-calendar, dùng lịch sử đã lùi 549 ngày để tránh leakage khi forecast đến 2024-07-01"
dec_x_dos_tail,Rủi ro cuối năm + đuôi tồn kho dài,Gap-safe: tính tại as_of_date = Date - 549 ngày; rolling/lag thực hiện sau shift. Công thức gốc: is_december * p90_dos_28d,Tương tác vận hành,business-day (date),"Feature phi-calendar, dùng lịch sử đã lùi 549 ngày để tránh leakage khi forecast đến 2024-07-01"
cod_x_cancel,Định lượng tác động COD lên hủy đơn,Gap-safe: tính tại as_of_date = Date - 549 ngày; rolling/lag thực hiện sau shift. Công thức gốc: cod_share_7d * cancel_rate_7d,Tương tác vận hành,business-day (date),"Feature phi-calendar, dùng lịch sử đã lùi 549 ngày để tránh leakage khi forecast đến 2024-07-01"
lane_late_x_lane_refund,Khoanh lane cần ưu tiên xử lý SLA + refund,Gap-safe: tính tại as_of_date = Date - 549 ngày; rolling/lag thực hiện sau shift. Công thức gốc: lane_late_rate_7d * lane_refund_to_rev_7d,Tương tác vận hành,lane-day (region x traffic_source x date),"Feature phi-calendar, dùng lịch sử đã lùi 549 ngày để tránh leakage khi forecast đến 2024-07-01"
late_rate_zscore_28d,Phát hiện bất thường trễ giao so với trạng thái bình thường,Gap-safe: tính tại as_of_date = Date - 549 ngày; rolling/lag thực hiện sau shift. Công thức gốc: (late_rate_7d - mean_28d) / std_28d,Advanced vận hành (động học),business-day (date),"Feature phi-calendar, dùng lịch sử đã lùi 549 ngày để tránh leakage khi forecast đến 2024-07-01"
late_persistence_3d,Đo tính dai dẳng của sự cố vận hành,Gap-safe: tính tại as_of_date = Date - 549 ngày; rolling/lag thực hiện sau shift. Công thức gốc: số ngày liên tiếp gần nhất có late_rate > ngưỡng,Advanced vận hành (động học),business-day (date),"Feature phi-calendar, dùng lịch sử đã lùi 549 ngày để tránh leakage khi forecast đến 2024-07-01"
sla_breach_severity_7d,"Không chỉ biết trễ hay không, mà trễ nặng bao nhiêu","Gap-safe: tính tại as_of_date = Date - 549 ngày; rolling/lag thực hiện sau shift. Công thức gốc: mean(max(lead_time - SLA, 0)) trong 7 ngày",Advanced vận hành (động học),business-day (date),"Feature phi-calendar, dùng lịch sử đã lùi 549 ngày để tránh leakage khi forecast đến 2024-07-01"
eta_tail_concentration_7d,Độ tập trung đơn vào vùng ETA rủi ro,Gap-safe: tính tại as_of_date = Date - 549 ngày; rolling/lag thực hiện sau shift. Công thức gốc: (orders_8_10_days + orders_gt10_days) / total_orders,Advanced vận hành (động học),business-day (date),"Feature phi-calendar, dùng lịch sử đã lùi 549 ngày để tránh leakage khi forecast đến 2024-07-01"
refund_reason_entropy_7d,Phân biệt lỗi tập trung 1 nguyên nhân hay đa nguyên nhân,Gap-safe: tính tại as_of_date = Date - 549 ngày; rolling/lag thực hiện sau shift. Công thức gốc: entropy(phân bổ refund reason),Advanced refund (cấu trúc),business-day (date),"Feature phi-calendar, dùng lịch sử đã lùi 549 ngày để tránh leakage khi forecast đến 2024-07-01"
wrong_size_to_defect_ratio_7d,Tách bài toán fit-size với lỗi chất lượng vật lý,Gap-safe: tính tại as_of_date = Date - 549 ngày; rolling/lag thực hiện sau shift. Công thức gốc: wrong_size_share_7d / (defective_share_7d + eps),Advanced refund (cấu trúc),business-day (date),"Feature phi-calendar, dùng lịch sử đã lùi 549 ngày để tránh leakage khi forecast đến 2024-07-01"
refund_acceleration_7d,Tốc độ xấu đi/cải thiện của rò rỉ refund theo tuần,Gap-safe: tính tại as_of_date = Date - 549 ngày; rolling/lag thực hiện sau shift. Công thức gốc: refund_to_revenue_7d - refund_to_revenue_7d_lag7,Advanced refund (động học),business-day (date),"Feature phi-calendar, dùng lịch sử đã lùi 549 ngày để tránh leakage khi forecast đến 2024-07-01"
dos_acceleration_28d,Hàng tồn đang phình nhanh hay được giải phóng,Gap-safe: tính tại as_of_date = Date - 549 ngày; rolling/lag thực hiện sau shift. Công thức gốc: avg_dos_7d - avg_dos_7d_lag28,Advanced inventory (động học),inventory-day (date),"Feature phi-calendar, dùng lịch sử đã lùi 549 ngày để tránh leakage khi forecast đến 2024-07-01"
stockout_streak_max_14d,"Đo “thời gian đau” do đứt hàng, không chỉ tỷ lệ",Gap-safe: tính tại as_of_date = Date - 549 ngày; rolling/lag thực hiện sau shift. Công thức gốc: max số ngày liên tiếp stockout của hero SKU trong 14 ngày,Advanced inventory (động học),hero-sku-day (top sku x date),"Feature phi-calendar, dùng lịch sử đã lùi 549 ngày để tránh leakage khi forecast đến 2024-07-01"
overstock_age_pressure_idx,Áp lực xả tồn cũ cộng tồn đuôi dài,Gap-safe: tính tại as_of_date = Date - 549 ngày; rolling/lag thực hiện sau shift. Công thức gốc: stale_stock_share_180d * p90_dos_28d,Advanced inventory (động học),inventory-day (date),"Feature phi-calendar, dùng lịch sử đã lùi 549 ngày để tránh leakage khi forecast đến 2024-07-01"
lane_refund_hhi_7d,Xem rủi ro có dồn vào vài lane hay phân tán,Gap-safe: tính tại as_of_date = Date - 549 ngày; rolling/lag thực hiện sau shift. Công thức gốc: HHI của refund theo lane (region x source),Advanced lane risk,lane-day (region x traffic_source x date),"Feature phi-calendar, dùng lịch sử đã lùi 549 ngày để tránh leakage khi forecast đến 2024-07-01"
lane_tail_eta_refund_coupling,Bắt đồng thời 3 nguồn rủi ro trên cùng lane,Gap-safe: tính tại as_of_date = Date - 549 ngày; rolling/lag thực hiện sau shift. Công thức gốc: lane_late_rate_7d * lane_refund_to_rev_7d * orders_8_10_days_share,Advanced lane risk,lane-day (region x traffic_source x date),"Feature phi-calendar, dùng lịch sử đã lùi 549 ngày để tránh leakage khi forecast đến 2024-07-01"
lane_inventory_stress_idx,Lane nào vừa thiếu hàng vừa mất đơn,Gap-safe: tính tại as_of_date = Date - 549 ngày; rolling/lag thực hiện sau shift. Công thức gốc: lane_stockout_rate_7d * lane_cancel_rate_7d,Advanced lane risk,lane-day (region x traffic_source x date),"Feature phi-calendar, dùng lịch sử đã lùi 549 ngày để tránh leakage khi forecast đến 2024-07-01"
year,Năm của ngày dự báo,Date.year,sales.csv[Date],1 dòng = 1 ngày forecast,"Bắt xu hướng dài hạn, drift tăng/giảm qua các năm"
month,Tháng của ngày dự báo,Date.month,sales.csv[Date],1 dòng = 1 ngày forecast,Bắt mùa vụ theo tháng
day,Ngày trong tháng,Date.day,sales.csv[Date],1 dòng = 1 ngày forecast,Bắt hiệu ứng đầu tháng/cuối tháng
day_of_week,Thứ trong tuần,Date.dayofweek,sales.csv[Date],1 dòng = 1 ngày forecast,Bắt pattern doanh thu theo thứ
week_of_year,Tuần trong năm,Date.isocalendar().week,sales.csv[Date],1 dòng = 1 ngày forecast,Bắt chu kỳ tuần theo mùa năm
quarter,Quý trong năm,quarter(date),sales.csv[Date],1 dòng = 1 ngày forecast,"Feature calendar dùng trực tiếp target date, không shift 549 ngày"
day_of_year,Thứ tự ngày trong năm,Date.dayofyear,sales.csv[Date],1 dòng = 1 ngày forecast,Neo vị trí trong năm để học mùa vụ
is_weekend,flag cuối tuần,"1 nếu thứ 7/CN, ngược lại 0",sales.csv[Date],1 dòng = 1 ngày forecast,Giúp model bắt spike/dip cuối tuần
is_month_start,flag đầu tháng,1 nếu là ngày đầu tháng,sales.csv[Date],1 dòng = 1 ngày forecast,Bắt hiệu ứng đầu tháng
is_month_end,flag cuối tháng,1 nếu là ngày cuối tháng,sales.csv[Date],1 dòng = 1 ngày forecast,Bắt hiệu ứng chốt tháng
"sin_7, cos_7",Fourier cho chu kỳ 7 ngày,sin/cos(2πt/7),sales.csv[Date],1 dòng = 1 ngày forecast,Mã hóa chu kỳ tuần trơn hơn biến rời rạc
"sin_30_5, cos_30_5",Fourier cho chu kỳ gần tháng,sin/cos(2πt/30.5),sales.csv[Date],1 dòng = 1 ngày forecast,Bắt nhịp gần-tháng ngoài calendar thuần
"sin_365_25, cos_365_25",Fourier cho chu kỳ năm,sin/cos(2πt/365.25),sales.csv[Date],1 dòng = 1 ngày forecast,Bắt seasonality năm mượt và ổn định
"revenue_lag_1, 7, 14, 28, 56, 365, 366",Doanh thu quá khứ tại các độ trễ quan trọng,Gap-safe: tính tại as_of_date = Date - 549 ngày; rolling/lag thực hiện sau shift. Công thức gốc: Revenue.shift(k),"sales.csv[Revenue, Date]","1 dòng = 1 ngày forecast, tính từ lịch sử trước ngày đó","Là nhóm mạnh nhất để học động lượng ngắn hạn, weekly repeat, yearly repeat"
"revenue_roll_mean_7, 14, 28, 56, 91, 365",Trung bình trượt lịch sử của doanh thu,Gap-safe: tính tại as_of_date = Date - 549 ngày; rolling/lag thực hiện sau shift. Công thức gốc: Revenue.shift(1).rolling(w).mean(),"sales.csv[Revenue, Date]","1 dòng = 1 ngày forecast, chỉ dùng quá khứ",Cho model biết “mức nền” hiện tại của chuỗi
"revenue_roll_std_7, 14, 28, 56, 91, 365",Độ biến động trượt lịch sử của doanh thu,Gap-safe: tính tại as_of_date = Date - 549 ngày; rolling/lag thực hiện sau shift. Công thức gốc: Revenue.shift(1).rolling(w).std(),"sales.csv[Revenue, Date]","1 dòng = 1 ngày forecast, chỉ dùng quá khứ",Giúp model nhận biết giai đoạn ổn định hay nhiễu mạnh
"revenue_same_day_ly_365, 366",Doanh thu cùng kỳ năm trước,Gap-safe: tính tại as_of_date = Date - 549 ngày; rolling/lag thực hiện sau shift. Công thức gốc: Revenue.shift(365/366),"sales.csv[Revenue, Date]","1 dòng = 1 ngày forecast, chỉ dùng quá khứ","Neo trực tiếp với cùng mùa năm trước, đặc biệt hữu ích cho daily forecast dài hạn"
exp_sessions_<source>,Prior lịch sử về quy mô traffic từng source theo tháng,Gap-safe: tính tại as_of_date = Date - 549 ngày; rolling/lag thực hiện sau shift. Công thức gốc: AVG(sessions) theo month_of_year x source,"web_traffic.csv[date, traffic_source, sessions]","Bảng tra 1 dòng = 1 month_of_year x 1 source, map vào ngày forecast theo month","Cho model một proxy về mùa vụ acquisition; chỉ là prior, không phải traffic tương lai thật"
exp_bounce_rate_<source>,Prior lịch sử về chất lượng traffic từng source theo tháng,Gap-safe: tính tại as_of_date = Date - 549 ngày; rolling/lag thực hiện sau shift. Công thức gốc: AVG(bounce_rate) theo month_of_year x source,"web_traffic.csv[date, traffic_source, bounce_rate]","Bảng tra 1 dòng = 1 month_of_year x 1 source, map theo month",Bổ sung tín hiệu về chất lượng demand theo mùa
exp_category_share_<category>,Prior lịch sử về mix doanh thu theo category theo tháng,Gap-safe: tính tại as_of_date = Date - 549 ngày; rolling/lag thực hiện sau shift. Công thức gốc: SUM(revenue_category) / SUM(revenue_all) theo month_of_year,orders.csv[order_date] + order_items.csv + products.csv[category],"Bảng tra 1 dòng = 1 month_of_year x 1 category, map theo month",Giúp model học seasonality do thay đổi cơ cấu ngành hàng
active_promo_count,Số promo đang active trong ngày,Gap-safe: tính tại as_of_date = Date - 549 ngày; rolling/lag thực hiện sau shift. Công thức gốc: count(promo_id where start_date <= Date <= end_date),promotions.csv,Date,"Feature phi-calendar, dùng lịch sử đã lùi 549 ngày để tránh leakage khi forecast đến 2024-07-01"
is_any_promo_active,Ngày có promo hay không,Gap-safe: tính tại as_of_date = Date - 549 ngày; rolling/lag thực hiện sau shift. Công thức gốc: 1(active_promo_count > 0),promotions.csv,Date,"Feature phi-calendar, dùng lịch sử đã lùi 549 ngày để tránh leakage khi forecast đến 2024-07-01"
active_discount_avg,Discount trung bình của các promo đang chạy,"Gap-safe: tính tại as_of_date = Date - 549 ngày; rolling/lag thực hiện sau shift. Công thức gốc: mean(discount_value) của active promos, không có promo thì 0",promotions.csv,Date,"Feature phi-calendar, dùng lịch sử đã lùi 549 ngày để tránh leakage khi forecast đến 2024-07-01"
